DATE,DJIA
1/26/2018,26616.71
2/2/2018,25520.96
2/9/2018,24190.9
2/16/2018,25219.38
2/23/2018,25309.99
3/2/2018,24538.06
3/9/2018,25335.74
3/16/2018,24946.51
3/23/2018,23533.2
3/30/2018,24103.11
4/6/2018,23932.76
4/13/2018,24360.14
4/20/2018,24462.94
4/27/2018,24311.19
5/4/2018,24262.51
5/11/2018,24831.17
5/18/2018,24715.09
5/25/2018,24753.09
6/1/2018,24635.21
6/8/2018,25316.53
6/15/2018,25090.48
6/22/2018,24580.89
6/29/2018,24271.41
7/6/2018,24456.48
7/13/2018,25019.41
7/20/2018,25058.12
7/27/2018,25451.06
8/3/2018,25462.58
8/10/2018,25313.14
8/17/2018,25669.32
8/24/2018,25790.35
8/31/2018,25964.82
9/7/2018,25916.54
9/14/2018,26154.67
9/21/2018,26743.5
9/28/2018,26458.31
10/5/2018,26447.05
10/12/2018,25339.99
10/19/2018,25444.34
10/26/2018,24688.31
11/2/2018,25270.83
11/9/2018,25989.3
11/16/2018,25413.22
11/23/2018,24285.95
11/30/2018,25538.46
12/7/2018,24388.95
12/14/2018,24100.51
12/21/2018,22445.37
12/28/2018,23062.4
1/4/2019,23433.16
1/11/2019,23995.95
1/18/2019,24706.35
1/25/2019,24737.2
2/1/2019,25063.89
2/8/2019,25106.33
2/15/2019,25883.25
2/22/2019,26031.81
3/1/2019,26026.32
3/8/2019,25450.24
3/15/2019,25848.87
3/22/2019,25502.32
3/29/2019,25928.68
4/5/2019,26424.99
4/12/2019,26412.3
4/19/2019,26559.54
4/26/2019,26543.33
5/3/2019,26504.95
5/10/2019,25942.37
5/17/2019,25764
5/24/2019,25585.69
5/31/2019,24815.04
6/7/2019,25983.94
6/14/2019,26089.61
6/21/2019,26719.13
6/28/2019,26599.96
7/5/2019,26922.12
7/12/2019,27332.03
7/19/2019,27154.2
7/26/2019,27192.45
8/2/2019,26485.01
8/9/2019,26287.44
8/16/2019,25886.01
8/23/2019,25628.9
8/30/2019,26403.28
9/6/2019,26797.46
9/13/2019,27219.52
9/20/2019,26935.07
9/27/2019,26820.25
10/4/2019,26573.72
10/11/2019,26816.59
10/18/2019,26770.2
10/25/2019,26958.06
11/1/2019,27347.36
11/8/2019,27681.24
11/15/2019,28004.89
11/22/2019,27875.62
11/29/2019,28051.41
12/6/2019,28015.06
12/13/2019,28135.38
12/20/2019,28455.09
12/27/2019,28645.26
1/3/2020,28634.88
1/10/2020,28823.77
1/17/2020,29348.1
1/24/2020,28989.73
1/31/2020,28256.03
2/7/2020,29102.51
2/14/2020,29398.08
2/21/2020,28992.41
2/28/2020,25409.36
3/6/2020,25864.78
3/13/2020,23185.62
3/20/2020,19173.98
3/27/2020,21636.78
4/3/2020,21052.53
4/10/2020,23719.37
4/17/2020,24242.49
4/24/2020,23775.27
5/1/2020,23723.69
5/8/2020,24331.32
5/15/2020,23685.42
5/22/2020,24465.16
5/29/2020,25383.11
6/5/2020,27110.98
6/12/2020,25605.54
6/19/2020,25871.46
6/26/2020,25015.55
7/3/2020,25827.36
7/10/2020,26075.3
7/17/2020,26671.95
7/24/2020,26469.89
7/31/2020,26428.32
8/7/2020,27433.48
8/14/2020,27931.02
8/21/2020,27930.33
8/28/2020,28653.87
9/4/2020,28133.31
9/11/2020,27665.64
9/18/2020,27657.42
9/25/2020,27173.96
10/2/2020,27682.81
10/9/2020,28586.9
10/16/2020,28606.31
10/23/2020,28335.57
10/30/2020,26501.6
11/6/2020,28323.4
11/13/2020,29479.81
11/20/2020,29263.48
11/27/2020,29910.37
12/4/2020,30218.26
12/11/2020,30046.37
12/18/2020,30179.05
12/25/2020,30199.87
1/1/2021,30606.48
1/8/2021,31097.97
1/15/2021,30814.26
1/22/2021,30996.98
1/29/2021,29982.62
2/5/2021,31148.24
2/12/2021,31458.4
2/19/2021,31494.32
2/26/2021,30932.37
3/5/2021,31496.3
3/12/2021,32778.64
3/19/2021,32627.97
3/26/2021,33072.88
4/2/2021,33153.21
4/9/2021,33800.6
4/16/2021,34200.67
4/23/2021,34043.49
4/30/2021,33874.85
5/7/2021,34777.76
